Easting [m,Northig [m,dz
4572980.71,5305878.3,-0.76
4572966.68,5306127.06,-0.4
4572964.59,5306089.65,-0.24
4572974.16,5306020.9,0.14
4572961.75,5306051.97,-0.02
4572971.71,5305983.53,-0.27
4572969.61,5305946.29,-0.66
4572967.83,5305909.18,-0.63
4572953.97,5306158.17,-0.58
4572952.24,5306120.89,-0.43
4572949.76,5306083.34,-0.13
4572959.13,5306014.53,-0.18
4572946.55,5306045.53,-0.16
4572956.87,5305977.23,-0.45
4572954.94,5305940.06,-0.4
4572939.88,5306152.13,-0.61
4572941.27,5306189.29,-0.8
4572937.77,5306114.71,-0.31
4572934.91,5306077.03,-0.1
4572944.13,5306008.17,-0.25
4572931.39,5306039.1,0
4572942.05,5305970.95,-0.12
4572925.78,5306146.09,-0.39
4572927.53,5306183.37,-0.75
4572928.56,5306220.4,-0.9
4572923.28,5306108.53,-0.05
4572920.12,5306070.73,0.21
4572929.17,5306001.83,0.13
4572916.28,5306032.71,0.52
4572911.65,5306140.03,-0.02
4572913.79,5306177.46,-0.5
4572915.17,5306214.62,-0.87
4572915.85,5306251.52,-1.01
4572908.84,5306102.36,0.49
4572905.39,5306064.48,0.66
4572897.56,5306133.99,0.68
4572900.02,5306171.53,0.07
4572901.8,5306208.83,-0.48
4572902.82,5306245.86,-0.88
4572898.72,5306287.91,-0.9
4572881.58,5306324.3,-0.55
4572894.5,5306096.25,0.91
4572883.61,5306128.01,1.12
4572886.28,5306165.62,0.92
4572888.39,5306203.03,0.1
4572889.81,5306240.2,-0.49
4572885.43,5306282.15,-0.86
4572864.45,5306360.7,-0.22
4572868.04,5306318.44,-0.62
4572847.31,5306397.09,0.25
4572872.72,5306159.78,1.3
4572875.01,5306197.25,1.03
4572876.75,5306234.53,0.23
4572872.16,5306276.39,-0.34
4572850.66,5306354.73,-0.38
4572854.52,5306312.58,-0.14
4572830.18,5306433.48,0.76
4572833.27,5306391.02,-0.05
4572861.83,5306191.55,1.45
4572863.73,5306228.87,1.18
4572858.86,5306270.62,0.46
4572836.87,5306348.76,-0.08
4572840.97,5306306.71,0.64
4572816.02,5306463.83,1.03
4572815.88,5306427.31,0.32
4572819.22,5306384.95,0.09
4572850.94,5306223.32,1.44
4572845.58,5306264.86,1.41
4572823.07,5306342.8,0.64
4572827.43,5306300.84,1.06
4572801.86,5306494.19,1.34
4572801.77,5306457.69,0.66
4572787.7,5306524.54,1.49
4572773.54,5306554.89,1.67
4572801.58,5306421.13,0.15
4572805.18,5306378.89,0.73
4572832.49,5306259.18,0.9
4572809.27,5306336.83,0.85
4572814.04,5306295.05,0.38
4572787.67,5306488.08,0.97
4572787.58,5306451.57,0.24
4572773.57,5306518.46,1.26
4572759.38,5306585.25,1.73
4572759.46,5306548.85,1.51
4572787.28,5306414.97,0.49
4572791.12,5306372.81,0.34
4572795.6,5306330.91,-0.16
4572773.58,5306482.01,0.28
4572773.33,5306445.44,0.3
4572759.59,5306512.45,0.44
4572745.22,5306615.6,1.52
4572745.36,5306579.23,1.68
4572745.59,5306542.89,0.49
4572772.97,5306408.8,-0.14
4572777.15,5306366.78,-0.85
4572759.39,5306475.91,0.02
4572759.07,5306439.3,-0.41
4572745.44,5306506.38,-0.18
4572732.27,5306653.9,0.92
4572731.26,5306609.62,1.76
4572731.6,5306573.33,0.63
4572731.49,5306536.85,-0.34
4572758.7,5306402.64,-1.17
4572745.18,5306469.8,-0.71
4572744.85,5306433.17,-1.28
4572731.28,5306500.3,-1
4572719.32,5306692.19,-0.09
4572717.68,5306647.64,1.55
4572717.6,5306603.77,0.69
4572717.54,5306567.32,-0.44
4572717.38,5306530.79,-1.22
4572731,5306463.69,-1.22
4572717.14,5306494.22,-1.23
4572706.36,5306730.49,-0.97
4572704.1,5306685.66,1.27
4572703.35,5306641.49,0.89
4572703.59,5306597.79,-0.46
4572703.48,5306561.29,-1.43
