Easting [m],Northig [m],dz
4573440.93,5304983.64,0.18
4573441.7,5304947.28,-0.38
4573445.78,5304905.24,-0.76
4573449.85,5304862.99,-0.6
4573453.91,5304820.53,-0.66
4573424.98,5305049.8,0.37
4573426.41,5305013.83,0.08
4573410.23,5305079.86,0.29
4573427.42,5304977.6,-0.41
4573427.91,5304941.09,-0.92
4573431.98,5304898.94,-0.84
4573436.05,5304856.59,-0.53
4573395.47,5305109.91,0.22
4573411.9,5305044.02,-0.04
4573413.14,5305007.92,-0.46
4573397.38,5305074.21,-0.23
4573413.87,5304971.54,-0.78
4573414.11,5304934.9,-1.03
4573418.19,5304892.65,-0.63
4573380.71,5305139.97,0.11
4573382.86,5305104.4,-0.34
4573398.86,5305038.24,-0.46
4573399.83,5305002,-0.63
4573384.57,5305068.56,-0.43
4573400.32,5304965.49,-0.92
4573400.33,5304928.71,-0.58
4573368.7,5305171.16,0.22
4573368.35,5305134.59,-0.45
4573370.29,5305098.88,-0.42
4573385.79,5305032.46,-0.48
4573386.52,5304996.08,-0.8
4573371.75,5305062.91,-0.36
4573386.77,5304959.43,-0.63
4573356.69,5305202.34,0.31
4573356.02,5305165.65,-0.23
4573356.01,5305129.2,-0.44
4573357.71,5305093.37,-0.21
4573372.73,5305026.67,-0.66
4573373.21,5304990.16,-0.52
4573358.93,5305057.27,-0.5
4573344.68,5305233.53,0.56
4573343.69,5305196.71,-0.07
4573343.34,5305160.14,-0.25
4573343.68,5305123.83,-0.08
4573345.14,5305087.86,-0.35
4573359.66,5305020.88,-0.41
4573346.1,5305051.61,-0.29
4573332.67,5305264.72,0.69
4573331.36,5305227.77,0.04
4573330.68,5305191.07,-0.11
4573330.67,5305154.63,-0.06
4573331.34,5305118.45,-0.2
4573332.54,5305082.33,-0.18
4573320.66,5305295.9,0.23
4573319.04,5305258.84,0.14
4573308.65,5305327.09,-0.1
4573318.02,5305222,-0.02
4573317.67,5305185.43,-0.06
4573318,5305149.12,-0.22
4573318.98,5305113.06,-0.1
4573295.25,5305357.85,-0.11
4573306.71,5305289.9,0.14
4573305.35,5305252.94,0.09
4573294.38,5305320.96,0.16
4573304.67,5305216.23,-0.03
4573304.67,5305179.79,-0.24
4573305.31,5305143.6,-0.12
4573281.85,5305388.61,-0.13
4573280.98,5305351.7,0.16
4573292.69,5305283.87,0.29
4573291.67,5305247.03,-0.01
4573280.02,5305314.8,0.43
4573291.33,5305210.46,-0.28
4573291.64,5305174.14,-0.06
4573268.45,5305419.37,-0.15
4573267.57,5305382.45,0.15
4573266.62,5305345.53,0.37
4573278.67,5305277.83,0
4573277.99,5305241.13,-0.3
4573265.67,5305308.63,0.03
4573277.97,5305204.68,-0.26
4573255.05,5305450.12,-0.17
4573254.16,5305413.19,0.14
4573253.22,5305376.26,0.3
4573252.27,5305339.35,-0.08
4573264.65,5305271.8,-0.36
4573264.3,5305235.22,-0.39
4573251.31,5305302.47,-0.4
4573241.65,5305480.88,-0.12
4573240.76,5305443.93,0.14
4573239.82,5305406.99,0.23
4573238.88,5305370.07,-0.18
4573237.92,5305333.18,-0.48
4573250.63,5305265.76,-0.52
4573236.96,5305296.3,-0.29
4573228.25,5305511.64,-0.05
4573227.35,5305474.67,0.12
4573226.42,5305437.72,0.17
4573225.48,5305400.79,-0.28
4573224.53,5305363.88,-0.57
4573223.58,5305327,-0.54
4573212.87,5305548.61,-0.14
4573213.94,5305505.42,0.01
4573213.02,5305468.45,0.11
4573197.5,5305585.57,-0.1
4573182.12,5305622.54,-0.04
4573212.09,5305431.51,-0.38
4573211.15,5305394.59,-0.66
4573210.2,5305357.7,-0.81
4573198.31,5305542.3,0.02
4573199.62,5305499.18,0.04
4573198.69,5305462.23,-0.52
4573182.68,5305579.19,0.04
4573166.75,5305659.5,0.09
4573167.05,5305616.07,0.05
4573197.76,5305425.3,-0.76
4573196.82,5305388.39,-1.07
4573183.74,5305535.99,-0.04
4573185.3,5305492.95,-0.67
4573184.37,5305456.01,-0.84
4573167.86,5305572.79,-0.1
4573151.37,5305696.47,0.28
4573151.41,5305652.96,0.1
4573151.98,5305609.6,-0.17
4573183.45,5305419.09,-1.33
4573169.17,5305529.67,-0.61
4573170.98,5305486.71,-0.96
4573170.07,5305449.79,-1.59
4573153.03,5305566.4,-0.56
4573134.01,5305732.7,0.12
4573135.78,5305689.84,0.18
4573136.09,5305646.4,-0.24
4573136.9,5305603.13,-0.51
4573154.6,5305523.36,-0.99
4573156.69,5305480.49,-1.83
4573138.21,5305560.01,-0.99
4573116.66,5305768.93,0.33
4573118.71,5305726.19,0.17
4573120.21,5305683.21,-0.26
4573120.77,5305639.86,-0.47
4573121.83,5305596.66,-0.98
4573140.06,5305517.06,-1.6
4573123.43,5305553.63,-1.28
4573099.3,5305805.17,0.3
4573101.64,5305762.55,0.16
4573103.41,5305719.68,-0.38
4573104.64,5305676.59,-0.44
4573105.44,5305633.31,-1
4573106.79,5305590.21,-0.94
4573081.95,5305841.4,0.25
4573084.57,5305798.9,0.05
4573086.62,5305756.15,-0.38
4573088.12,5305713.18,-0.55
4573089.06,5305669.96,-1.06
4573090.16,5305626.78,-0.61
4573064.59,5305877.63,0.21
4573067.5,5305835.25,-0.1
4573069.82,5305792.62,-0.46
4573071.59,5305749.76,-0.68
4573072.81,5305706.66,-1.01
4573073.53,5305663.35,0.03
4573052.51,5305908.83,0.16
4573050.42,5305871.6,-0.21
4573053.02,5305829.09,-0.46
4573055.07,5305786.35,-0.76
4573056.56,5305743.36,-0.99
4573057.54,5305700.16,-0.09
4573040.43,5305940.03,0.13
4573038.18,5305902.74,-0.03
4573036.22,5305865.56,-0.44
4573038.55,5305822.94,-0.91
4573040.31,5305780.07,-0.95
4573041.56,5305736.98,-0.17
4573028.34,5305971.23,0.17
4573025.93,5305933.87,0.14
4573023.81,5305896.63,-0.32
4573022.03,5305859.52,-0.96
4573024.07,5305816.77,-0.87
4573025.57,5305773.79,-0.22
4573016.26,5306002.43,0.16
4573013.68,5305965.01,0.26
4573011.4,5305927.7,-0.18
4573009.45,5305890.53,-0.82
4573007.82,5305853.47,-0.78
4573009.59,5305810.61,0.02
4573004.18,5306033.63,0.16
4572992.1,5306064.83,0.29
4573001.44,5305996.14,0.4
4572998.98,5305958.77,-0.05
4572996.87,5305921.53,-0.63
4572995.08,5305884.41,-0.79
4572993.6,5305847.42,-0.89
4572979.39,5306095.95,0.6
4572989.19,5306027.27,0.53
4572976.94,5306058.41,0.59
4572986.57,5305989.83,0.07
4572984.29,5305952.53,-0.44
4572982.34,5305915.35,-0.8
4572980.71,5305878.3,-1.15
4572966.68,5306127.06,0.61
4572964.59,5306089.65,0.46
4572974.16,5306020.9,0.17
4572961.75,5306051.97,0.26
4572971.71,5305983.53,-0.3
4572969.61,5305946.29,-0.79
4572967.83,5305909.18,-0.58
4572953.97,5306158.17,0.64
4572952.24,5306120.89,0.36
4572949.76,5306083.34,0.26
4572959.13,5306014.53,-0.13
4572946.55,5306045.53,0.04
4572956.87,5305977.23,-0.77
4572954.94,5305940.06,-0.37
4572939.88,5306152.13,0.26
4572941.27,5306189.29,0.47
4572937.77,5306114.71,0.28
4572934.91,5306077.03,0.13
4572944.13,5306008.17,-0.76
4572931.39,5306039.1,-0.78
4572942.05,5305970.95,-0.29
4572925.78,5306146.09,0.28
4572927.53,5306183.37,0.15
4572928.56,5306220.4,-0.21
4572923.28,5306108.53,0.2
4572920.12,5306070.73,-0.55
4572929.17,5306001.83,-0.21
4572916.28,5306032.71,-0.6
4572911.65,5306140.03,0.27
4572913.79,5306177.46,0.2
4572915.17,5306214.62,0.14
4572915.85,5306251.52,-0.51
4572908.84,5306102.36,-0.35
4572905.39,5306064.48,-0.57
4572897.56,5306133.99,-0.15
4572900.02,5306171.53,0.26
4572901.8,5306208.83,0.12
4572902.82,5306245.86,0.09
4572898.72,5306287.91,0.19
4572881.58,5306324.3,0.04
4572894.5,5306096.25,-0.53
4572883.61,5306128.01,-0.31
4572886.28,5306165.62,-0.06
4572888.39,5306203.03,0.28
4572889.81,5306240.2,0.07
4572885.43,5306282.15,0.11
4572864.45,5306360.7,0.21
